時間,功率(W),累計能耗(kWh),預估費用($)
2025-10-27 23:24:40.797,3745,0.0096,0.0
2025-10-27 23:24:40.898,4352,0.0097,0.0
2025-10-27 23:24:40.997,2634,0.0098,0.0
2025-10-27 23:24:41.097,1408,0.0098,0.0
2025-10-27 23:24:41.198,1661,0.0099,0.0
2025-10-27 23:24:41.297,4477,0.01,0.0
2025-10-27 23:24:41.397,4969,0.0101,0.0
2025-10-27 23:24:41.498,612,0.0101,0.0
2025-10-27 23:24:41.597,3709,0.0102,0.0
2025-10-27 23:24:41.697,3474,0.0103,0.0
2025-10-27 23:24:41.798,1921,0.0104,0.0
2025-10-27 23:24:41.898,3598,0.0105,0.0
2025-10-27 23:24:41.998,346,0.0105,0.0
2025-10-27 23:24:42.098,663,0.0105,0.0
2025-10-27 23:24:42.198,1578,0.0106,0.0
2025-10-27 23:24:42.298,4725,0.0107,0.0
2025-10-27 23:24:42.398,254,0.0107,0.0
2025-10-27 23:24:42.498,1944,0.0108,0.0
2025-10-27 23:24:42.598,1233,0.0108,0.0
2025-10-27 23:24:42.698,3819,0.0109,0.0
2025-10-27 23:24:42.798,2324,0.011,0.0
2025-10-27 23:24:42.898,4254,0.0111,0.0
2025-10-27 23:24:42.998,1033,0.0111,0.0
2025-10-27 23:24:43.098,2210,0.0112,0.0
2025-10-27 23:24:43.198,218,0.0112,0.0
2025-10-27 23:24:43.298,3289,0.0113,0.0
2025-10-27 23:24:43.398,2681,0.0113,0.0
2025-10-27 23:24:43.497,4658,0.0115,0.0
2025-10-27 23:24:43.598,4041,0.0116,0.0
2025-10-27 23:24:43.698,2327,0.0116,0.0
2025-10-27 23:24:43.798,4100,0.0118,0.0
2025-10-27 23:24:43.898,1269,0.0118,0.0
2025-10-27 23:24:43.997,2318,0.0119,0.0
2025-10-27 23:24:44.098,4437,0.012,0.0
2025-10-27 23:24:44.198,650,0.012,0.0
2025-10-27 23:24:44.298,936,0.012,0.0
2025-10-27 23:24:44.398,710,0.012,0.0
2025-10-27 23:24:44.497,2199,0.0121,0.0
2025-10-27 23:24:44.598,1316,0.0121,0.0
2025-10-27 23:24:44.698,1488,0.0122,0.0
2025-10-27 23:24:44.798,2916,0.0123,0.0
2025-10-27 23:24:44.898,319,0.0123,0.0
2025-10-27 23:24:44.998,4226,0.0124,0.0
2025-10-27 23:24:45.097,444,0.0124,0.0
2025-10-27 23:24:45.198,3157,0.0125,0.0
2025-10-27 23:24:45.298,2923,0.0126,0.0
2025-10-27 23:24:45.397,787,0.0126,0.0
2025-10-27 23:24:45.498,2721,0.0127,0.0
2025-10-27 23:24:45.597,3605,0.0128,0.0
2025-10-27 23:24:45.698,898,0.0128,0.0
2025-10-27 23:24:45.798,1029,0.0128,0.0
2025-10-27 23:24:45.898,4303,0.0129,0.0
2025-10-27 23:24:45.997,1260,0.013,0.0
2025-10-27 23:24:46.098,4527,0.0131,0.0
2025-10-27 23:24:46.198,3635,0.0132,0.0
2025-10-27 23:24:46.297,293,0.0132,0.0
2025-10-27 23:24:46.398,1563,0.0133,0.0
2025-10-27 23:24:46.497,2101,0.0133,0.0
2025-10-27 23:24:46.598,2116,0.0134,0.0
2025-10-27 23:24:46.698,1383,0.0134,0.0
2025-10-27 23:24:46.798,3761,0.0135,0.0
2025-10-27 23:24:46.897,2947,0.0136,0.0
2025-10-27 23:24:46.998,2196,0.0137,0.0
2025-10-27 23:24:47.098,2511,0.0137,0.0
2025-10-27 23:24:47.198,1563,0.0138,0.0
2025-10-27 23:24:47.298,3589,0.0139,0.0
2025-10-27 23:24:47.398,3726,0.014,0.0
2025-10-27 23:24:47.497,2606,0.014,0.0
2025-10-27 23:24:47.598,248,0.0141,0.0
2025-10-27 23:24:47.698,4221,0.0142,0.0
2025-10-27 23:24:47.798,1876,0.0142,0.0
2025-10-27 23:24:47.898,4502,0.0143,0.0
2025-10-27 23:24:47.998,4452,0.0145,0.0
2025-10-27 23:24:48.098,3305,0.0146,0.0
2025-10-27 23:24:48.198,4098,0.0147,0.0
2025-10-27 23:24:48.298,4526,0.0148,0.0
2025-10-27 23:24:48.398,3585,0.0149,0.0
2025-10-27 23:24:48.497,2186,0.015,0.0
2025-10-27 23:24:48.598,612,0.015,0.0
2025-10-27 23:24:48.698,1842,0.015,0.0
2025-10-27 23:24:48.797,742,0.0151,0.0
2025-10-27 23:24:48.898,2593,0.0151,0.0
2025-10-27 23:24:48.997,2292,0.0152,0.0
2025-10-27 23:24:49.097,3568,0.0153,0.0
2025-10-27 23:24:49.198,2524,0.0154,0.0
2025-10-27 23:24:49.296,3095,0.0154,0.0
2025-10-27 23:24:49.398,3058,0.0155,0.0
2025-10-27 23:24:49.497,3319,0.0156,0.0
2025-10-27 23:24:49.598,297,0.0156,0.0
2025-10-27 23:24:49.698,3205,0.0157,0.0
2025-10-27 23:24:49.797,535,0.0157,0.0
2025-10-27 23:24:49.898,1457,0.0158,0.0
2025-10-27 23:24:49.998,3834,0.0159,0.0
2025-10-27 23:24:50.098,1233,0.0159,0.0
2025-10-27 23:24:50.197,3382,0.016,0.0
2025-10-27 23:24:50.298,4491,0.0161,0.0
2025-10-27 23:24:50.398,1236,0.0162,0.0
2025-10-27 23:24:50.497,3122,0.0163,0.0
2025-10-27 23:24:50.598,1509,0.0163,0.0
2025-10-27 23:24:50.697,3848,0.0164,0.0
2025-10-27 23:24:50.797,2666,0.0165,0.0
2025-10-27 23:24:50.898,3388,0.0166,0.0
2025-10-27 23:24:50.997,4758,0.0167,0.0
2025-10-27 23:24:51.098,4866,0.0168,0.0
2025-10-27 23:24:51.198,771,0.0169,0.0
2025-10-27 23:24:51.298,773,0.0169,0.0
2025-10-27 23:24:51.398,502,0.0169,0.0
2025-10-27 23:24:51.496,493,0.0169,0.0
2025-10-27 23:24:51.598,3075,0.017,0.0
2025-10-27 23:24:51.698,1370,0.017,0.0
2025-10-27 23:24:51.797,2280,0.0171,0.0
2025-10-27 23:24:51.898,3022,0.0172,0.0
2025-10-27 23:24:51.997,824,0.0172,0.0
2025-10-27 23:24:52.097,2172,0.0173,0.0
2025-10-27 23:24:52.198,3650,0.0174,0.0
2025-10-27 23:24:52.297,2774,0.0174,0.0
2025-10-27 23:24:52.398,1623,0.0175,0.0
2025-10-27 23:24:52.520,4589,0.0176,0.0
2025-10-27 23:24:52.597,4488,0.0177,0.0
2025-10-27 23:24:52.698,3487,0.0178,0.0
2025-10-27 23:24:52.797,4953,0.018,0.0
2025-10-27 23:24:52.897,1204,0.018,0.0
2025-10-27 23:24:52.998,1586,0.0181,0.0
2025-10-27 23:24:53.096,2566,0.0181,0.0
2025-10-27 23:24:53.198,4735,0.0183,0.0
2025-10-27 23:24:53.298,2064,0.0183,0.0
2025-10-27 23:24:53.398,1964,0.0184,0.0
2025-10-27 23:24:53.498,1266,0.0184,0.0
2025-10-27 23:24:53.598,1604,0.0184,0.0
2025-10-27 23:24:53.698,1368,0.0185,0.0
2025-10-27 23:24:53.798,2603,0.0186,0.0
2025-10-27 23:24:53.896,1236,0.0186,0.0
2025-10-27 23:24:53.998,4874,0.0187,0.0
2025-10-27 23:24:54.098,4267,0.0188,0.0
2025-10-27 23:24:54.197,547,0.0189,0.0
2025-10-27 23:24:54.297,4317,0.019,0.0
2025-10-27 23:24:54.397,2730,0.0191,0.0
2025-10-27 23:24:54.497,791,0.0191,0.0
2025-10-27 23:24:54.598,4080,0.0192,0.0
2025-10-27 23:24:54.698,380,0.0192,0.0
2025-10-27 23:24:54.797,2972,0.0193,0.0
2025-10-27 23:24:54.898,3657,0.0194,0.0
2025-10-27 23:24:54.997,226,0.0194,0.0
2025-10-27 23:24:55.098,3313,0.0195,0.0
2025-10-27 23:24:55.197,3930,0.0196,0.0
2025-10-27 23:24:55.298,3902,0.0197,0.0
2025-10-27 23:24:55.397,4035,0.0198,0.0
2025-10-27 23:24:55.497,947,0.0198,0.0
2025-10-27 23:24:55.609,4197,0.02,0.0
2025-10-27 23:24:55.697,3915,0.0201,0.0
2025-10-27 23:24:55.797,2810,0.0201,0.0
2025-10-27 23:24:55.898,2349,0.0202,0.0
2025-10-27 23:24:55.997,3831,0.0203,0.0
2025-10-27 23:24:56.097,2274,0.0204,0.0
2025-10-27 23:24:56.198,4231,0.0205,0.0
2025-10-27 23:24:56.297,3429,0.0206,0.0
2025-10-27 23:24:56.398,3611,0.0207,0.0
2025-10-27 23:24:56.497,618,0.0207,0.0
2025-10-27 23:24:56.597,4254,0.0208,0.0
2025-10-27 23:24:56.697,3870,0.0209,0.0
2025-10-27 23:24:56.798,2202,0.021,0.0
2025-10-27 23:24:56.898,1855,0.021,0.0
2025-10-27 23:24:56.997,2225,0.0211,0.0
2025-10-27 23:24:57.097,1474,0.0211,0.0
2025-10-27 23:24:57.198,1391,0.0212,0.0
2025-10-27 23:24:57.297,2869,0.0213,0.0
2025-10-27 23:24:57.398,1269,0.0213,0.0
2025-10-27 23:24:57.497,2445,0.0214,0.0
2025-10-27 23:24:57.597,1552,0.0214,0.0
2025-10-27 23:24:57.698,2457,0.0215,0.0
2025-10-27 23:24:57.797,4563,0.0216,0.0
2025-10-27 23:24:57.897,932,0.0216,0.0
